p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.42E-07,0.636508327,0.534,0.35,0.005136054,1,LAMB1
1.43E-07,0.388083559,0.775,0.609,0.005151558,1,RNF145
1.43E-07,0.931471229,0.29,0.15,0.005176914,1,CTSO
1.44E-07,0.782122363,0.359,0.194,0.005210758,1,MAN1A1
1.45E-07,0.380712145,0.817,0.624,0.005243166,1,MRPL50
1.46E-07,0.355998066,0.859,0.681,0.005268252,1,PDIA4
1.46E-07,0.329809426,0.939,0.848,0.005268412,1,UQCRFS1
1.52E-07,0.316313226,0.92,0.808,0.00548744,1,UBE2D2
1.52E-07,0.449343807,0.691,0.46,0.005498326,1,NTAN1
1.54E-07,0.554350809,0.416,0.241,0.005572955,1,TPMT
1.55E-07,0.427925583,0.588,0.406,0.00561003,1,MED8
1.59E-07,0.984321741,0.321,0.175,0.005755531,1,MVP
1.63E-07,0.565396257,0.5,0.319,0.005885465,1,PTGES2
1.63E-07,0.602479531,0.439,0.258,0.00590058,1,AGTRAP
1.67E-07,0.335194594,0.927,0.801,0.006030218,1,NDUFS8
1.67E-07,0.309840341,0.962,0.826,0.006034599,1,LAMTOR4
1.67E-07,0.869828236,0.267,0.128,0.006041988,1,C8orf58
1.71E-07,0.54262029,0.676,0.498,0.006178925,1,MOB4
1.72E-07,0.987980142,0.382,0.233,0.006204581,1,SMPDL3A
1.74E-07,0.435942678,0.847,0.664,0.00629799,1,PRR13
1.75E-07,0.393222991,0.828,0.663,0.006337606,1,OCIAD1
1.78E-07,0.321179752,0.889,0.779,0.006417606,1,ARL6IP5
1.83E-07,0.338449955,0.744,0.576,0.006614875,1,ATP6V1A
1.85E-07,0.564543394,0.542,0.34,0.006689372,1,WIPI1
1.85E-07,0.343250045,0.424,0.242,0.006700569,1,DUSP11
1.88E-07,0.608538766,0.588,0.415,0.006796021,1,MRPS36
1.89E-07,0.379255735,0.84,0.739,0.006818142,1,NDUFC1
1.89E-07,0.859236193,0.336,0.186,0.006832039,1,LPHN2
1.91E-07,0.356934308,0.844,0.665,0.006914868,1,BCAP31
1.92E-07,0.551989074,0.622,0.416,0.006940526,1,TPBG
1.94E-07,0.269365676,0.939,0.8,0.007000479,1,DRAP1
1.96E-07,0.341629356,0.897,0.753,0.007070952,1,NFE2L2
1.97E-07,0.516406676,0.645,0.472,0.007116712,1,SYNGR1
1.98E-07,0.409503359,0.84,0.664,0.007162176,1,ACTN4
1.98E-07,0.758176991,0.427,0.266,0.007164412,1,SSPN
2.03E-07,0.376197754,0.908,0.705,0.007318417,1,SNF8
2.04E-07,0.264791044,0.992,0.975,0.007373719,1,NACA
2.06E-07,0.706184051,0.294,0.146,0.007445596,1,CIRH1A
2.10E-07,0.525600999,0.519,0.346,0.007596735,1,BLVRA
2.11E-07,0.522309825,0.508,0.336,0.007635573,1,LIFR
2.15E-07,0.268698475,0.851,0.609,0.00777137,1,FBN1
2.23E-07,0.292060303,1,0.961,0.00804453,1,OAZ1
2.23E-07,0.4467656,0.718,0.513,0.008066767,1,FAM3C
2.34E-07,0.575650472,0.576,0.41,0.008448275,1,RIT1
2.35E-07,0.358959949,0.893,0.677,0.008494553,1,TAX1BP3
2.36E-07,0.316128781,0.718,0.519,0.008518478,1,ARMCX3
2.36E-07,0.777388512,0.324,0.176,0.008540199,1,SERTAD3
2.37E-07,0.439346855,0.721,0.529,0.008548841,1,UBE2J1
2.38E-07,0.27061243,1,0.976,0.008597364,1,RPS24
2.41E-07,0.620298725,0.355,0.198,0.008708838,1,TBC1D9
