"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051985","GO:0051985","negative regulation of chromosome segregation","2/27","54/18986",0.037037037037037,26.0438957475994,6.95472542850625,0.00266276749651795,0.0488843919643767,0.0317839774658846,"AURKB/TTK",2
"GO:0048839","GO:0048839","inner ear development","3/27","202/18986",0.0148514851485149,10.4433443344334,5.09198294314578,0.00287519618062557,0.0513655930799632,0.0333972212268706,"SOX9/EYA1/FREM2",3
"GO:0007051","GO:0007051","spindle organization","3/27","204/18986",0.0147058823529412,10.3409586056645,5.06191773286553,0.00295629312690436,0.0513655930799632,0.0333972212268706,"AURKB/TTK/TPX2",3
"GO:0031099","GO:0031099","regeneration","3/27","204/18986",0.0147058823529412,10.3409586056645,5.06191773286553,0.00295629312690436,0.0513655930799632,0.0333972212268706,"ELAVL4/CAPN3/MAG",3
"GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","2/27","58/18986",0.0344827586206897,24.2477650063857,6.69148193296787,0.00306511304345949,0.0516792331144139,0.0336011457800214,"AURKB/TTK",2
"GO:2000241","GO:2000241","regulation of reproductive process","3/27","207/18986",0.0144927536231884,10.191089640365,5.01759279531444,0.00308057093590545,0.0516792331144139,0.0336011457800214,"SOX9/CDC25C/TTK",3
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","2/27","59/18986",0.0338983050847458,23.8367859384809,6.62978684112603,0.00316988661878681,0.0522762657640604,0.0339893284191056,"AURKB/TTK",2
"GO:0060350","GO:0060350","endochondral bone morphogenesis","2/27","60/18986",0.0333333333333333,23.4395061728395,6.56960067025016,0.00327632585732159,0.0531310843195651,0.0345451200043908,"SOX9/CSGALNACT1",2
"GO:0001658","GO:0001658","branching involved in ureteric bud morphogenesis","2/27","61/18986",0.0327868852459016,23.0552519732848,6.51086164515541,0.00338442616848241,0.0539843715071046,0.0350999159147183,"SOX9/EYA1",2
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","2/27","62/18986",0.032258064516129,22.6833930704898,6.45351148436804,0.00349418297054081,0.0548361295215517,0.0356537175771651,"AURKB/TTK",2
"GO:0007080","GO:0007080","mitotic metaphase chromosome alignment","2/27","63/18986",0.0317460317460317,22.3233392122281,6.39749514988025,0.00360559169060684,0.0556863605549279,0.0362065264169542,"AURKB/TTK",2
"GO:0051306","GO:0051306","mitotic sister chromatid separation","2/27","65/18986",0.0307692307692308,21.6364672364672,6.28925867248349,0.00383334663730811,0.0582788480953248,0.0378921271220752,"AURKB/TTK",2
